key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,0.64411,,,,,,,,0_targ_16_dist_green/trial19.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.11913,0,5,5,143,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.68909,,,,,,,,15_dist_green/trial4.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.163045,0,6,6,59,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.50614,,,,,,,,0_targ_10_dist_green/trial20.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.07885,0,7,7,121,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.47445,,,,,,,,0_targ_10_dist_green/trial21.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.079325,0,8,8,122,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.616055,,,,,,,,0_targ_16_dist_green/trial22.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.033085,0,9,9,146,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.57835,,,,,,,,9_dist_green/trial25.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.15172,0,10,10,57,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.558485,,,,,,,,3_dist_green/trial22.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.135595,0,11,11,31,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.468995,,,,,,,,0_targ_4_dist_green/trial4.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.12598,0,12,12,82,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.471235,,,,,,,,0_targ_10_dist_green/trial25.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.06885,0,13,13,126,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.52407,,,,,,,,15_dist_green/trial19.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.14401,0,14,14,74,1,,,,,,,,,,,,,,,
