key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,p,1,0.904,,,,,,,,tex_hard_TP/1.6_r=200_phi=225_seed=1.png,1,p,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.42,0,4,4,39,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.955,,,,,,,,tex_easy_TP/1.7_r=250_phi=135_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.397,0,5,5,17,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.797,,,,,,,,tex_mid_TP/1.65_r=200_phi=270_seed=2.png,1,p,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.398,0,6,6,61,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.765,,,,,,,,tex_easy_TP/1.7_r=250_phi=225_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.372,0,7,7,18,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,4.306,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.767,0,8,8,144,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.337,,,,,,,,tex_hard_TP/1.6_r=350_phi=90_seed=1.png,1,p,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.551,0,9,9,48,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.578,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.617,0,10,10,111,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.641,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.492,0,11,11,133,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,6.298,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.452,0,12,12,7,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.705,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.513,0,13,13,142,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.016,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.473,0,14,14,92,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.315,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.397,0,15,15,106,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.289,,,,,,,,tex_easy_TP/1.7_r=400_phi=315_seed=3.png,1,p,easy,texture,5f06eefaf3fc742667b4e79d,34,male,2021-05-03_11h59.51.799,search_v5,2021.1.2,Win32,37.515006,,,space,0.419,0,16,16,30,1,,,,,,,,,,,,,,,,,
