key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,3.41,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.671,0,4,4,112,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.873,,,,,,,,tex_mid_TP/1.65_r=250_phi=225_seed=2.png,1,p,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.568,0,5,5,64,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.441,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.636,0,6,6,140,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,2.685,,,,,,,,tex_easy_TP/1.7_r=400_phi=135_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.643,0,7,7,28,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.106,,,,,,,,tex_easy_TP/1.7_r=300_phi=135_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.304,0,8,8,21,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.335,,,,,,,,tex_easy_TP/1.7_r=200_phi=315_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.519,0,9,9,15,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,6.718,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.901,0,10,10,86,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.567,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.79,0,11,11,107,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,4.435,,,,,,,,tex_hard_TP/1.6_r=150_phi=90_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.17,0,12,12,37,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,4.801,,,,,,,,tex_hard_TP/1.6_r=250_phi=135_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.683,0,13,13,41,1,,,,,,,,,,,,,,,,,
