key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,8.328255,space,31.824585,space,74.67459,space,26.345275,space,11.45792,space,20.021695,space,6.62897,a,1,0.999565,space,2.775125,0,0,0,116,1,0_targ_1_dist_red/trial17.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.74408,space,3.060475,0,1,1,83,1,15_dist_red/trial9.png,,,1,15,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.85493,space,2.82535,0,2,2,57,1,9_dist_red/trial8.png,,,1,9,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.473255,space,2.44552,0,3,3,12,1,0_dist_red/trial13.png,,,1,0,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.72696,space,2.70033,0,4,4,109,1,0_targ_1_dist_red/trial10.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.646235,space,2.717335,0,5,5,40,1,3_dist_red/trial16.png,,,1,3,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.67445,space,2.66991,0,6,6,118,1,0_targ_1_dist_red/trial19.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.605665,space,2.840935,0,7,7,4,1,0_dist_red/trial5.png,,,1,0,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.296615,space,5.74109,0,8,8,153,1,0_targ_10_dist_red/trial4.png,,,0,10,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.57422,space,1.26711,0,9,9,31,1,3_dist_red/trial7.png,,,1,3,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.5284,space,1.534465,0,10,10,28,1,3_dist_red/trial4.png,,,1,3,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.603305,space,1.19086,0,11,11,42,1,3_dist_red/trial18.png,,,1,3,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.58727,space,1.12819,0,12,12,120,1,0_targ_1_dist_red/trial21.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.77451,space,1.78024,0,13,13,196,1,0_targ_16_dist_red/trial22.png,,,0,16,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.522705,space,1.357145,0,14,14,67,1,9_dist_red/trial18.png,,,1,9,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.81001,space,0.75718,0,15,15,79,1,15_dist_red/trial5.png,,,1,15,redHorizontal,p,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.04332,space,1.517775,0,16,16,182,1,0_targ_16_dist_red/trial8.png,,,0,16,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.854355,space,1.3811,0,17,17,103,1,0_targ_1_dist_red/trial4.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.590605,space,0.824725,0,18,18,110,1,0_targ_1_dist_red/trial11.png,,,0,1,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.89646,space,2.366905,0,19,19,154,1,0_targ_10_dist_red/trial5.png,,,0,10,redHorizontal,a,24,25,Male,2021-02-19_12h22.03.290,exp11,2020.2.6,MacIntel,60,IwAR0hkvJJfxNT5N4ovJsgwvEkF3m95afrXr5DqkyR0guLPsVDKkMaCO7fX3c,,,,,,,,,,,
