key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,9.353655,space,36.328715,space,11.712175,space,22.64383,space,14.86186,space,11.91536,space,13.477735,p,1,0.96021,space,5.409215,0,0,0,12,1,0_dist_green/trial13.png,,,1,0,greenverival,p,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.09682,space,1.1512,0,1,1,1,1,0_dist_green/trial2.png,,,1,0,greenverival,p,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.91712,space,0.80666,0,2,2,47,1,3_dist_green/trial23.png,,,1,3,greenverival,p,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.841689999,space,0.850965001,0,3,3,106,1,0_targ_1_dist_green/trial7.png,,,0,1,greenverival,a,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.628810001,space,1.05161,0,4,4,197,1,0_targ_16_dist_green/trial23.png,,,0,16,greenverival,a,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.770285,space,0.84423,0,5,5,73,1,9_dist_green/trial24.png,,,1,9,greenverival,p,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.603265,space,0.57993,0,6,6,6,1,0_dist_green/trial7.png,,,1,0,greenverival,p,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.93253,space,0.633775,0,7,7,123,1,0_targ_1_dist_green/trial24.png,,,0,1,greenverival,a,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.22482,space,0.528445,0,8,8,188,1,0_targ_16_dist_green/trial14.png,,,0,16,greenverival,a,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.668260001,space,0.56864,0,9,9,113,1,0_targ_1_dist_green/trial14.png,,,0,1,greenverival,a,35,21,Female,2021-02-21_21h15.20.132,exp11,2020.2.6,Win32,60,IwAR2g_uZYATue8hKJ8HfVdoWjE957yzHhgttO7-VktzKDo8X01NmsegucXCM,,,,,,,,,,,
