key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,0.848,space,0.335,space,0.405,space,0.343,space,0.525,space,27.44,space,7.284,a,1,0.771,space,4.785,0,0,0,119,1,0_targ_1_dist_red/trial20.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.428,space,0.748,0,1,1,0,1,0_dist_red/trial1.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.823,space,0.759,0,2,2,25,1,3_dist_red/trial1.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.517,space,0.373,0,3,3,61,1,9_dist_red/trial12.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.513,space,2.963,0,4,4,130,1,0_targ_4_dist_red/trial6.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.793,space,0.449,0,5,5,175,1,0_targ_16_dist_red/trial1.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.726,space,0.29,0,6,6,122,1,0_targ_1_dist_red/trial23.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.65,space,0.271,0,7,7,43,1,3_dist_red/trial19.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.661,space,0.157,0,8,8,134,1,0_targ_4_dist_red/trial10.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.827,space,0.431,0,9,9,128,1,0_targ_4_dist_red/trial4.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.646,space,0.141,0,10,10,109,1,0_targ_1_dist_red/trial10.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.694,space,0.11,0,11,11,188,1,0_targ_16_dist_red/trial14.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.711,space,0.092,0,12,12,49,1,3_dist_red/trial25.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.662,space,0.073,0,13,13,137,1,0_targ_4_dist_red/trial13.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.133,space,0.089,0,14,14,82,1,15_dist_red/trial8.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.251,space,0.138,0,15,15,159,1,0_targ_10_dist_red/trial10.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.854,space,0.071,0,16,16,101,1,0_targ_1_dist_red/trial2.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.541,space,0.091,0,17,17,148,1,0_targ_4_dist_red/trial24.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.599,space,0.086,0,18,18,181,1,0_targ_16_dist_red/trial7.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.826,space,0.062,0,19,19,170,1,0_targ_10_dist_red/trial21.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.625,space,0.056,0,20,20,151,1,0_targ_10_dist_red/trial2.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.579,space,0.069,0,21,21,190,1,0_targ_16_dist_red/trial16.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.655,space,0.206,0,22,22,77,1,15_dist_red/trial3.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.561,space,0.09,0,23,23,129,1,0_targ_4_dist_red/trial5.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.642,space,0.072,0,24,24,47,1,3_dist_red/trial23.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.729,space,0.321,0,25,25,80,1,15_dist_red/trial6.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.909,space,0.045,0,26,26,179,1,0_targ_16_dist_red/trial5.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.948,space,0.061,0,27,27,36,1,3_dist_red/trial12.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.928,space,2.148,0,28,28,70,1,9_dist_red/trial21.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.783,space,0.065,0,29,29,180,1,0_targ_16_dist_red/trial6.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.926,space,0.039,0,30,30,7,1,0_dist_red/trial8.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.925,space,0.053,0,31,31,93,1,15_dist_red/trial19.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.849,space,1.174,0,32,32,59,1,9_dist_red/trial10.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.924,space,0.026,0,33,33,85,1,15_dist_red/trial11.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.928,space,0.08,0,34,34,164,1,0_targ_10_dist_red/trial15.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.591,space,0.072,0,35,35,142,1,0_targ_4_dist_red/trial18.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.61,space,0.056,0,36,36,136,1,0_targ_4_dist_red/trial12.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.724,space,0.338,0,37,37,12,1,0_dist_red/trial13.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.693,space,0.086,0,38,38,107,1,0_targ_1_dist_red/trial8.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.895,space,0.035,0,39,39,149,1,0_targ_4_dist_red/trial25.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.782,space,0.026,0,40,40,69,1,9_dist_red/trial20.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.648,space,0.019,0,41,41,4,1,0_dist_red/trial5.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.642,space,0.059,0,42,42,166,1,0_targ_10_dist_red/trial17.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.525,space,0.076,0,43,43,103,1,0_targ_1_dist_red/trial4.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.534,space,0.058,0,44,44,191,1,0_targ_16_dist_red/trial17.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.675,space,0.021,0,45,45,53,1,9_dist_red/trial4.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.652,space,0.023,0,46,46,42,1,3_dist_red/trial18.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.627,space,0.072,0,47,47,132,1,0_targ_4_dist_red/trial8.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.812,space,0.035,0,48,48,197,1,0_targ_16_dist_red/trial23.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.931,space,0.029,0,49,49,125,1,0_targ_4_dist_red/trial1.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.82,space,0.556,0,50,50,94,1,15_dist_red/trial20.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.684,space,0.016,0,51,51,20,1,0_dist_red/trial21.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.926,space,0.038,0,52,52,187,1,0_targ_16_dist_red/trial13.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.583,space,0.072,0,53,53,104,1,0_targ_1_dist_red/trial5.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.575,space,0.047,0,54,54,184,1,0_targ_16_dist_red/trial10.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.668,space,0.054,0,55,55,138,1,0_targ_4_dist_red/trial14.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.757,space,0.022,0,56,56,183,1,0_targ_16_dist_red/trial9.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.595,space,0.022,0,57,57,29,1,3_dist_red/trial5.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.492,space,0.411,0,58,58,31,1,3_dist_red/trial7.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.629,space,0.019,0,59,59,96,1,15_dist_red/trial22.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.527,space,0.037,0,60,60,44,1,3_dist_red/trial20.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.792,space,0.014,0,61,61,26,1,3_dist_red/trial2.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.755,space,0.04,0,62,62,177,1,0_targ_16_dist_red/trial3.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.56,space,0.106,0,63,63,48,1,3_dist_red/trial24.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.128,space,0.039,0,64,64,32,1,3_dist_red/trial8.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.81,space,0.222,0,65,65,68,1,9_dist_red/trial19.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.886,space,0.026,0,66,66,155,1,0_targ_10_dist_red/trial6.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.658,space,0.043,0,67,67,157,1,0_targ_10_dist_red/trial8.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.613,space,0.053,0,68,68,162,1,0_targ_10_dist_red/trial13.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.575,space,0.072,0,69,69,18,1,0_dist_red/trial19.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.645,space,0.057,0,70,70,131,1,0_targ_4_dist_red/trial7.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.69,space,0.025,0,71,71,126,1,0_targ_4_dist_red/trial2.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.562,space,0.042,0,72,72,108,1,0_targ_1_dist_red/trial9.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.696,space,0.044,0,73,73,56,1,9_dist_red/trial7.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.692,space,0.02,0,74,74,145,1,0_targ_4_dist_red/trial21.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.595,space,0.06,0,75,75,168,1,0_targ_10_dist_red/trial19.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.627,space,0.044,0,76,76,161,1,0_targ_10_dist_red/trial12.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.461,space,0.037,0,77,77,110,1,0_targ_1_dist_red/trial11.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.414,space,0.136,0,78,78,6,1,0_dist_red/trial7.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.554,space,0.015,0,79,79,146,1,0_targ_4_dist_red/trial22.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.549,space,0.02,0,80,80,176,1,0_targ_16_dist_red/trial2.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.745,space,0.024,0,81,81,38,1,3_dist_red/trial14.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.498,space,0.038,0,82,82,118,1,0_targ_1_dist_red/trial19.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.662,space,0.023,0,83,83,186,1,0_targ_16_dist_red/trial12.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.658,space,0.023,0,84,84,37,1,3_dist_red/trial13.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.552,space,0.062,0,85,85,193,1,0_targ_16_dist_red/trial19.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.646,space,0.04,0,86,86,16,1,0_dist_red/trial17.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.544,space,0.053,0,87,87,9,1,0_dist_red/trial10.png,,,1,0,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.621,space,0.042,0,88,88,171,1,0_targ_10_dist_red/trial22.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.598,space,0.038,0,89,89,35,1,3_dist_red/trial11.png,,,1,3,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.445,space,0.061,0,90,90,102,1,0_targ_1_dist_red/trial3.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.782,space,0.043,0,91,91,78,1,15_dist_red/trial4.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.685,space,0.002,0,92,92,97,1,15_dist_red/trial23.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.726,space,0.023,0,93,93,105,1,0_targ_1_dist_red/trial6.png,,,0,1,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.641,space,0.019,0,94,94,72,1,9_dist_red/trial23.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.792,space,0.021,0,95,95,154,1,0_targ_10_dist_red/trial5.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.635,space,0.014,0,96,96,62,1,9_dist_red/trial13.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.699,space,0.039,0,97,97,178,1,0_targ_16_dist_red/trial4.png,,,0,16,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.693,space,0.494,0,98,98,160,1,0_targ_10_dist_red/trial11.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.678,space,0.021,0,99,99,87,1,15_dist_red/trial13.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.62,space,0.024,0,100,100,57,1,9_dist_red/trial8.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.53,space,0.022,0,101,101,64,1,9_dist_red/trial15.png,,,1,9,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.079,space,0.008,0,102,102,165,1,0_targ_10_dist_red/trial16.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.843,space,0.024,0,103,103,163,1,0_targ_10_dist_red/trial14.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.811,space,0.009,0,104,104,141,1,0_targ_4_dist_red/trial17.png,,,0,4,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.528,space,0.445,0,105,105,90,1,15_dist_red/trial16.png,,,1,15,redHorizontal,p,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.944,space,1.393,0,106,106,150,1,0_targ_10_dist_red/trial1.png,,,0,10,redHorizontal,a,68,23,M,2021-02-25_21h00.11.728,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
