key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
,,,,,,,,,,,,,,p,1,0.56373,space,0.222765,0,80,80,78,1,15_dist_red/trial4.png,,,1,15,redHorizontal,p,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.4671,space,0.139425,0,81,81,111,1,0_targ_1_dist_red/trial12.png,,,0,1,redHorizontal,a,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.68624,space,0.14058,0,82,82,132,1,0_targ_4_dist_red/trial8.png,,,0,4,redHorizontal,a,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,2.207715,space,0.206025,0,83,83,198,1,0_targ_16_dist_red/trial24.png,,,0,16,redHorizontal,a,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.49374,space,0.26708,0,84,84,82,1,15_dist_red/trial8.png,,,1,15,redHorizontal,p,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.570025,space,0.184935,0,85,85,121,1,0_targ_1_dist_red/trial22.png,,,0,1,redHorizontal,a,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.61755,space,0.234685,0,86,86,19,1,0_dist_red/trial20.png,,,1,0,redHorizontal,p,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.67603,space,0.234555,0,87,87,53,1,9_dist_red/trial4.png,,,1,9,redHorizontal,p,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.49365,space,0.171075,0,88,88,102,1,0_targ_1_dist_red/trial3.png,,,0,1,redHorizontal,a,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.53362,space,0.191335,0,89,89,24,1,0_dist_red/trial25.png,,,1,0,redHorizontal,p,Nathan Crush,20,male,2021-02-21_19h45.37.744,exp11,2020.2.6,Win32,60,IwAR2ROE_9iU5tOZlHgHT14sQTTjUFnzTcwF_sE5tC8QPUC4F-ZeIiKyrh7Uw,,,,,,,,,,,
