key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,1.118,space,0.399,space,0.327,space,0.347,space,1.16,space,0.443,space,12.625,a,1,2.552,space,1.212,0,0,0,163,1,0_targ_10_dist_red/trial14.png,,,0,10,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.646,space,0.309,0,1,1,140,1,0_targ_4_dist_red/trial6.png,,,0,4,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.549,space,0.287,0,2,2,114,1,0_targ_1_dist_red/trial15.png,,,0,1,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.745,space,0.307,0,3,3,151,1,0_targ_10_dist_red/trial2.png,,,0,10,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.774,space,0.289,0,4,4,25,1,3_dist_red/trial1.png,,,1,3,redHorizontal,p,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.65,space,0.249,0,5,5,177,1,0_targ_16_dist_red/trial3.png,,,0,16,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.692,space,0.246,0,6,6,61,1,9_dist_red/trial12.png,,,1,9,redHorizontal,p,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.698,space,0.246,0,7,7,173,1,0_targ_10_dist_red/trial24.png,,,0,10,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.711,space,0.222,0,8,8,96,1,15_dist_red/trial22.png,,,1,15,redHorizontal,p,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.679,space,0.185,0,9,9,91,1,15_dist_red/trial17.png,,,1,15,redHorizontal,p,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.753,space,0.255,0,10,10,121,1,0_targ_1_dist_red/trial22.png,,,0,1,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.87,space,0.158,0,11,11,185,1,0_targ_16_dist_red/trial11.png,,,0,16,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.662,space,0.175,0,12,12,128,1,0_targ_4_dist_red/trial4.png,,,0,4,redHorizontal,a,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,1.067,space,0.94,0,13,13,11,1,0_dist_red/trial12.png,,,1,0,redHorizontal,p,65,27,M,2021-02-20_12h43.13.739,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
