key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,1.649,space,21.46,space,20.251,space,125.056,space,19.467,space,38.336,space,12.073,p,0,0.596,space,2.384,0,0,0,103,1,0_targ_1_dist_red/trial4.png,,,0,1,redHorizontal,a,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,4.03,space,4.502,0,1,1,71,1,9_dist_red/trial22.png,,,1,9,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,3.778,space,9.842,0,2,2,72,1,9_dist_red/trial23.png,,,1,9,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,13.698,space,7.401,0,3,3,198,1,0_targ_16_dist_red/trial24.png,,,0,16,redHorizontal,a,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,3.314,space,4.644,0,4,4,36,1,3_dist_red/trial12.png,,,1,3,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.325,space,1.367,0,5,5,34,1,3_dist_red/trial10.png,,,1,3,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.058,space,1.259,0,6,6,70,1,9_dist_red/trial21.png,,,1,9,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.575,space,0.241,0,7,7,197,1,0_targ_16_dist_red/trial23.png,,,0,16,redHorizontal,a,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.206,space,2.542,0,8,8,49,1,3_dist_red/trial25.png,,,1,3,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,2.799,space,0.652,0,9,9,126,1,0_targ_4_dist_red/trial2.png,,,0,4,redHorizontal,a,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,1.388,space,1.825,0,10,10,4,1,0_dist_red/trial5.png,,,1,0,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.863,space,0.017,0,11,11,146,1,0_targ_4_dist_red/trial22.png,,,0,4,redHorizontal,a,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,1.233,space,1.517,0,12,12,10,1,0_dist_red/trial11.png,,,1,0,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.965,space,1.923,0,13,13,12,1,0_dist_red/trial13.png,,,1,0,redHorizontal,p,25,26,female,2021-02-19_15h29.12.399,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
