key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,7.001,space,7.523,space,7.528,space,9.524,space,5.218,space,13.134,space,5.473,p,1,2.322,space,5.149,0,0,0,78,1,15_dist_green/trial4.png,,,1,15,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.821,space,2.81,0,1,1,40,1,3_dist_green/trial16.png,,,1,3,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.38,space,1.504,0,2,2,36,1,3_dist_green/trial12.png,,,1,3,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.98,space,0.28,0,3,3,102,1,0_targ_1_dist_green/trial3.png,,,0,1,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.463,space,1.61,0,4,4,101,1,0_targ_1_dist_green/trial2.png,,,0,1,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.802,space,1.105,0,5,5,109,1,0_targ_1_dist_green/trial10.png,,,0,1,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.872,space,1.281,0,6,6,20,1,0_dist_green/trial21.png,,,1,0,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.368,space,1.039,0,7,7,175,1,0_targ_16_dist_green/trial1.png,,,0,16,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.507,space,1.069,0,8,8,38,1,3_dist_green/trial14.png,,,1,3,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.664,space,0.685,0,9,9,177,1,0_targ_16_dist_green/trial3.png,,,0,16,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.487,space,0.999,0,10,10,99,1,15_dist_green/trial25.png,,,1,15,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.096,space,1.081,0,11,11,46,1,3_dist_green/trial22.png,,,1,3,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.158,space,1.091,0,12,12,190,1,0_targ_16_dist_green/trial16.png,,,0,16,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.185,space,0.7,0,13,13,126,1,0_targ_4_dist_green/trial2.png,,,0,4,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.839,space,0.626,0,14,14,24,1,0_dist_green/trial25.png,,,1,0,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.868,space,0.961,0,15,15,178,1,0_targ_16_dist_green/trial4.png,,,0,16,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.087,space,0.677,0,16,16,134,1,0_targ_4_dist_green/trial10.png,,,0,4,greenverival,a,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.131,space,1.455,0,17,17,90,1,15_dist_green/trial16.png,,,1,15,greenverival,p,76,49,F,2021-02-17_21h38.56.558,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
