key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,2.768,space,11.21,space,3.411,space,13.947,space,3.36,space,6.441,space,4.947,a,1,1.965,space,2.879,0,0,0,134,1,0_targ_4_dist_green/trial10.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.671,space,0.598,0,1,1,179,1,0_targ_16_dist_green/trial5.png,,,0,16,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.698,space,0.377,0,2,2,72,1,9_dist_green/trial23.png,,,1,9,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.584,space,0.476,0,3,3,10,1,0_dist_green/trial11.png,,,1,0,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.73,space,0.337,0,4,4,113,1,0_targ_1_dist_green/trial14.png,,,0,1,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.943,space,0.399,0,5,5,174,1,0_targ_10_dist_green/trial25.png,,,0,10,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.738,space,0.25,0,6,6,52,1,9_dist_green/trial3.png,,,1,9,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.56,space,0.383,0,7,7,122,1,0_targ_1_dist_green/trial23.png,,,0,1,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.85,space,0.299,0,8,8,172,1,0_targ_10_dist_green/trial23.png,,,0,10,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.995,space,0.22,0,9,9,160,1,0_targ_10_dist_green/trial11.png,,,0,10,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.547,space,0.235,0,10,10,40,1,3_dist_green/trial16.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.853,space,0.346,0,11,11,183,1,0_targ_16_dist_green/trial9.png,,,0,16,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.799,space,0.288,0,12,12,155,1,0_targ_10_dist_green/trial6.png,,,0,10,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.994,space,0.23,0,13,13,80,1,15_dist_green/trial6.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.582,space,0.387,0,14,14,115,1,0_targ_1_dist_green/trial6.png,,,0,1,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.721,space,0.215,0,15,15,77,1,15_dist_green/trial3.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.55,space,0.226,0,16,16,82,1,15_dist_green/trial8.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.594,space,0.224,0,17,17,169,1,0_targ_10_dist_green/trial20.png,,,0,10,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.653,space,0.243,0,18,18,49,1,3_dist_green/trial25.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.57,space,0.187,0,19,19,145,1,0_targ_4_dist_green/trial21.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.529,space,0.204,0,20,20,36,1,3_dist_green/trial12.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.753,space,0.25,0,21,21,148,1,0_targ_4_dist_green/trial24.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.552,space,0.177,0,22,22,87,1,15_dist_green/trial13.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.477,space,0.227,0,23,23,105,1,0_targ_1_dist_green/trial6.png,,,0,1,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.837,space,0.193,0,24,24,137,1,0_targ_4_dist_green/trial13.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.902,space,0.193,0,25,25,74,1,9_dist_green/trial25.png,,,1,9,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.513,space,0.163,0,26,26,23,1,0_dist_green/trial24.png,,,1,0,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.557,space,0.184,0,27,27,143,1,0_targ_4_dist_green/trial19.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.673,space,0.187,0,28,28,139,1,0_targ_4_dist_green/trial15.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.614,space,0.188,0,29,29,38,1,3_dist_green/trial14.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.707,space,0.17,0,30,30,47,1,3_dist_green/trial23.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.753,space,0.162,0,31,31,79,1,15_dist_green/trial5.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.525,space,0.183,0,32,32,131,1,0_targ_4_dist_green/trial7.png,,,0,4,greenverival,a,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.526,space,0.144,0,33,33,39,1,3_dist_green/trial15.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.073,space,0.312,0,34,34,92,1,15_dist_green/trial18.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.462,space,0.299,0,35,35,19,1,0_dist_green/trial20.png,,,1,0,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.625,space,0.269,0,36,36,54,1,9_dist_green/trial5.png,,,1,9,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.485,space,0.312,0,37,37,41,1,3_dist_green/trial17.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.578,space,0.243,0,38,38,30,1,3_dist_green/trial6.png,,,1,3,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.843,space,0.226,0,39,39,76,1,15_dist_green/trial2.png,,,1,15,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.486,space,0.27,0,40,40,58,1,9_dist_green/trial9.png,,,1,9,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.526,space,0.235,0,41,41,17,1,0_dist_green/trial18.png,,,1,0,greenverival,p,73,20,female,2021-02-28_11h03.46.677,exp11,2020.2.6,MacIntel,60,,,,,,,,,,,
