key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,9.325765,space,7.66898,space,9.266625,space,13.97039,space,5.66748,space,12.86974,space,10.08043,a,1,1.187355,space,3.46454,0,0,0,122,1,0_targ_1_dist_red/trial23.png,,,0,1,redHorizontal,a,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,1.07877,space,1.28092,0,1,1,196,1,0_targ_16_dist_red/trial22.png,,,0,16,redHorizontal,a,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.350475,space,0.938655,0,2,2,36,1,3_dist_red/trial12.png,,,1,3,redHorizontal,p,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.930355,space,0.43639,0,3,3,11,1,0_dist_red/trial12.png,,,1,0,redHorizontal,p,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.047905,space,0.5158,0,4,4,134,1,0_targ_4_dist_red/trial10.png,,,0,4,redHorizontal,a,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.821015,space,0.576305,0,5,5,191,1,0_targ_16_dist_red/trial17.png,,,0,16,redHorizontal,a,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.3166,space,0.283825,0,6,6,80,1,15_dist_red/trial6.png,,,1,15,redHorizontal,p,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.250285,space,0.286195,0,7,7,78,1,15_dist_red/trial4.png,,,1,15,redHorizontal,p,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.024135,space,0.371895,0,8,8,47,1,3_dist_red/trial23.png,,,1,3,redHorizontal,p,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.91712,space,0.250455,0,9,9,114,1,0_targ_1_dist_red/trial15.png,,,0,1,redHorizontal,a,78,22,Male,2021-02-17_14h52.34.937,exp11,2020.2.6,Win32,60,,,,,,,,,,,
