key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,24.35538,space,21.106875,space,8.399995,space,7.048125,space,3.734065,space,51.690005,space,32.678055,a,1,2.28684,space,4.2076,0,0,0,120,1,0_targ_1_dist_red/trial21.png,,,0,1,redHorizontal,a,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,5.01232,space,2.409995,0,1,1,152,1,0_targ_10_dist_red/trial3.png,,,0,10,redHorizontal,a,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,2.27812,space,3.002055,0,2,2,43,1,3_dist_red/trial19.png,,,1,3,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.952535,space,0.937515,0,3,3,24,1,0_dist_red/trial25.png,,,1,0,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,2.543775,space,0.705965,0,4,4,92,1,15_dist_red/trial18.png,,,1,15,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,2.247345,space,1.206525,0,5,5,135,1,0_targ_4_dist_red/trial11.png,,,0,4,redHorizontal,a,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.742675,space,0.934335,0,6,6,67,1,9_dist_red/trial18.png,,,1,9,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,1.145,space,1.07046,0,7,7,48,1,3_dist_red/trial24.png,,,1,3,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,2.061965,space,1.561705,0,8,8,162,1,0_targ_10_dist_red/trial13.png,,,0,10,redHorizontal,a,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.97477,space,0.776055,0,9,9,88,1,15_dist_red/trial14.png,,,1,15,redHorizontal,p,30,20,Male,2021-02-17_13h42.51.343,exp11,2020.2.6,Win32,60,,,,,,,,,,,
