key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,15.14265,space,13.081195,space,4.88997,space,12.87169,space,5.73846,space,21.580935,space,6.11026,p,1,1.15987,space,2.781865,0,0,0,50,1,9_dist_red/trial1.png,,,1,9,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,p,0,0.62859,space,2.775655,0,1,1,134,1,0_targ_4_dist_red/trial10.png,,,0,4,redHorizontal,a,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,3.87988,space,1.60197,0,2,2,176,1,0_targ_16_dist_red/trial2.png,,,0,16,redHorizontal,a,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.90744,space,0.589735,0,3,3,199,1,0_targ_16_dist_red/trial25.png,,,0,16,redHorizontal,a,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.626275,space,0.72208,0,4,4,30,1,3_dist_red/trial6.png,,,1,3,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.539535,space,0.28411,0,5,5,59,1,9_dist_red/trial10.png,,,1,9,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.535365,space,0.432975,0,6,6,98,1,15_dist_red/trial24.png,,,1,15,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.65508,space,0.370395,0,7,7,157,1,0_targ_10_dist_red/trial8.png,,,0,10,redHorizontal,a,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.554085,space,0.3016,0,8,8,7,1,0_dist_red/trial8.png,,,1,0,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.70742,space,0.23485,0,9,9,41,1,3_dist_red/trial17.png,,,1,3,redHorizontal,p,52,20,female,2021-02-23_16h44.47.759,exp11,2020.2.6,Win32,60,IwAR2lyB9dd-vyCAj7CxUCfuRwfY1B-LMPXxJsjRhaQhN0EMTYOcSgMIxs2VI,,,,,,,,,,,
