ImageFile,tarPos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,background.started,background.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,5.448535689371056,None,space,0.6512041522946674,5.448535689371056,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
9_dist_red/trial12.png,"[-8, -4]",0,0,0,61,,,,,,,6.299503683185321,None,6.299503683185321,None,space,1.5680690043664072,6.299503683185321,None,8.03451817909081,None,-0.2222222222222222,-0.11203703703703703,1,0,0,1.1259044742037077,image_3,0.006541014139656909,None,8.03451817909081,None,9.118767559892149,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
3_dist_red/trial13.png,"[-4, 4]",0,1,1,37,,,,,,,11.237752398388693,None,11.237752398388693,None,space,0.9737092882569414,11.237752398388693,None,12.388822471548337,None,-0.13055555555555556,0.10833333333333334,1,0,0,0.7904896608670242,image_3,0.005493020842550322,None,12.388822471548337,None,13.106297559701488,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
15_dist_red/trial9.png,"[0, 0]",0,2,2,83,,,,,,,15.258416586133535,None,15.258416586133535,None,space,0.04922304497449659,15.258416586133535,None,15.475141599104973,None,0.03981481481481482,0.009259259259259259,1,0,0,0.9429795649339212,image_3,0.007232849704450928,None,15.475141599104973,None,16.34293284523301,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
15_dist_red/trial19.png,"[4, 8]",0,3,3,93,,,,,,,18.478259979136055,None,18.478259979136055,None,space,0.09317092370474711,18.478259979136055,None,18.745096671380452,None,0.14074074074074075,0.058333333333333334,1,0,0,0.7909766977536492,background,0.004950304311932996,None,18.745096671380452,None,19.462671278903144,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
15_dist_red/trial4.png,"[-4, 0]",0,4,4,78,,,,,,,21.614633826349746,None,21.614633826349746,None,space,2.644964832230471,21.614633826349746,None,24.433993702448788,None,-0.12222222222222222,-0.024074074074074074,1,0,0,1.1544297316577286,image_3,0.0012933677207911387,None,24.433993702448788,None,25.518475721764844,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
9_dist_red/trial16.png,"[0, -4]",0,5,5,65,,,,,,,27.653892455098685,None,27.653892455098685,None,space,1.8856960915436503,27.653892455098685,None,29.705935002028127,None,0.006481481481481481,-0.12962962962962962,1,0,0,0.9771239864057861,image_3,0.007994444837095216,None,29.705935002028127,None,30.606942355574574,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
9_dist_red/trial23.png,"[-8, 4]",0,6,6,72,,,,,,,32.74220996985969,None,32.74220996985969,None,space,0.14920608508691657,32.74220996985969,None,33.05922682095843,None,0.05925925925925926,0.11018518518518519,1,0,0,0.9936595605686307,background,0.008767239880398847,None,33.05922682095843,None,33.9769607874623,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
3_dist_red/trial24.png,"[0, -8]",0,7,7,48,,,,,,,36.12883181548386,None,36.12883181548386,None,space,1.4427405264577828,36.12883181548386,None,37.747169938113075,None,-0.014814814814814815,-0.23148148148148148,1,0,0,1.0604840929008787,image_3,0.008264523115940392,None,37.747169938113075,None,38.73146763861587,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
9_dist_red/trial10.png,"[8, -8]",0,8,8,59,,,,,,,40.88358538506145,None,40.88358538506145,None,space,1.3200021119846497,40.88358538506145,None,42.38508137548342,None,0.028703703703703703,-0.14351851851851852,1,0,0,2.2089797825174173,background,0.005524700623936951,None,42.38508137548342,None,44.52061906804738,None,,001,2021_Jan_11_1450,exp3,2020.2.2,59.88991824134319,
