ImageFile,tarPos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,background.started,background.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,6.024788321345113,None,space,1.3275326237780973,6.024788321345113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
3_dist_red/trial21.png,"[-8, -8]",0,0,0,45,,,,,,,7.55978521736688,None,7.55978521736688,None,space,0.8964569826785009,7.55978521736688,None,8.627601103347843,None,-0.25462962962962965,-0.23055555555555557,1,0,0,0.8272235057811486,image_3,0.00788724550511688,None,8.627601103347843,None,9.39480771322269,None,space,0.9416288535721833,9.39480771322269,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
15_dist_red/trial15.png,"[4, 4]",0,1,1,89,,,,,,,10.512803118050215,None,10.512803118050215,None,space,0.615461021050578,10.512803118050215,None,11.29686498006049,None,0.1574074074074074,-0.10277777777777777,1,0,0,0.5935990809666691,background,0.008518601462128572,None,11.29686498006049,None,11.830866682445048,None,space,1.2896698261174606,11.830866682445048,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
15_dist_red/trial5.png,"[4, -8]",0,2,2,79,,,,,,,13.298864967262489,None,13.298864967262489,None,space,1.0533721384272212,13.298864967262489,None,14.533414826131775,None,-0.053703703703703705,0.15555555555555556,1,0,0,0.9207621071109315,background,0.0014072869817027822,None,14.533414826131775,None,15.367568847548682,None,space,0.952733102516504,15.367568847548682,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
9_dist_red/trial19.png,"[4, 8]",0,3,3,68,,,,,,,16.502015987091,None,16.502015987091,None,space,1.0344269796623848,16.502015987091,None,17.703166059727664,None,0.1259259259259259,0.2037037037037037,1,0,0,0.9090978617750807,background,0.007308689208002761,None,17.703166059727664,None,18.520810426809476,None,space,1.0714769825426629,18.520810426809476,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
0_dist_red/trial12.png,"[4, -4]",0,4,4,11,,,,,,,19.77192177969846,None,19.77192177969846,None,space,0.7083189867553301,19.77192177969846,None,20.656097880972084,None,0.13425925925925927,-0.11018518518518519,1,0,0,0.8573349930520635,image_3,0.004801825270988047,None,20.656097880972084,None,21.44029478210723,None,space,0.9120015231892467,21.44029478210723,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
3_dist_red/trial6.png,"[-4, 8]",0,5,5,30,,,,,,,22.524557282828027,None,22.524557282828027,None,space,0.6836596245848341,22.524557282828027,None,23.37531823795871,None,-0.12129629629629629,0.20092592592592592,1,0,0,1.1431066041113809,background,0.007669326907489449,None,23.37531823795871,None,24.443318442761665,None,space,1.0050834874564316,24.443318442761665,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
0_dist_red/trial1.png,"[8, 8]",0,6,6,0,,,,,,,25.627614863260533,None,25.627614863260533,None,space,0.580872122416622,25.627614863260533,None,26.378305098842247,None,0.22962962962962963,0.23148148148148148,1,0,0,0.9273547049378976,image_3,0.008877959189703688,None,26.378305098842247,None,27.229198533124872,None,space,0.9069993152079405,27.229198533124872,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
15_dist_red/trial8.png,"[8, -4]",0,7,7,82,,,,,,,28.3136690325191,None,28.3136690325191,None,space,1.0147538255841937,28.3136690325191,None,29.498124171994277,None,0.23703703703703705,-0.11574074074074074,1,0,0,1.0677442064334173,image_3,0.014595778586226515,None,29.498124171994277,None,30.482461872234126,None,space,0.8937498000013875,30.482461872234126,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
3_dist_red/trial14.png,"[0, 8]",0,8,8,38,,,,,,,31.550097599363653,None,31.550097599363653,None,space,0.6422704494762002,31.550097599363653,None,32.3675531676563,None,-0.005555555555555556,0.2324074074074074,1,0,0,0.8258507145510521,image_3,0.007409168581943959,None,32.3675531676563,None,33.101802548451815,None,space,0.7784823777183192,33.101802548451815,None,,001,2021_Jan_11_1531,exp3,2020.2.2,59.93620909991591,
