ImageFile,tarPos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,background.started,background.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0_dist_red/trial25.png,"[4, 8]",0,2,2,24,,,,,,,12.159162821357313,None,12.159162821357313,None,space,0.2785678171640029,12.159162821357313,None,12.609595458583499,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.37178290059091523,background,0.003649448641226627,None,12.609595458583499,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial14.png,"[-4, 8]",0,3,3,88,,,,,,,13.043316522773239,None,13.043316522773239,None,space,0.27446640341804596,13.043316522773239,None,13.493866279255599,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.35723003373277606,background,0.005881114360818174,None,13.493866279255599,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
0_dist_red/trial17.png,"[-8, 0]",0,4,4,16,,,,,,,13.894073637922702,None,13.894073637922702,None,space,0.2796327703472343,13.894073637922702,None,14.344732833706075,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.351999667196651,background,0.016130360760143958,None,14.344732833706075,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
9_dist_red/trial25.png,"[4, -8]",0,5,5,74,,,,,,,14.761800884472905,None,14.761800884472905,None,space,0.25989177669544006,14.761800884472905,None,15.195429789244372,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.3398458249939722,background,0.0053691176435677335,None,15.195429789244372,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
0_dist_red/trial3.png,"[-8, 8]",0,6,6,2,,,,,,,15.595852506543451,None,15.595852506543451,None,space,0.2498793607664993,15.595852506543451,None,16.01306583637779,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.3403341418670607,background,0.005691035570634995,None,16.01306583637779,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
9_dist_red/trial18.png,"[0, 8]",0,7,7,67,,,,,,,16.413244075236435,None,16.413244075236435,None,space,0.28065740378951887,16.413244075236435,None,16.863793831718795,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.35537500560167246,background,0.0041470454598311335,None,16.863793831718795,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial13.png,"[8, 8]",0,8,8,87,,,,,,,17.280875962387654,None,17.280875962387654,None,space,0.24489443267520983,17.280875962387654,None,17.697819533954316,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.34766369494900573,background,0.011433110827056225,None,17.697819533954316,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial22.png,"[0, -8]",0,9,9,96,,,,,,,18.11502486383688,None,18.11502486383688,None,space,0.21057113234564895,18.11502486383688,None,18.498843207402388,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.32494928032247117,background,0.007235025695990771,None,18.498843207402388,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
0_dist_red/trial24.png,"[0, -8]",0,10,10,23,,,,,,,18.882416432534228,None,18.882416432534228,None,space,0.2113039276591735,18.882416432534228,None,19.26623669607943,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.6545590108216857,background,0.0020907386278850026,None,19.26623669607943,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
3_dist_red/trial11.png,"[4, 4]",0,11,11,35,,,,,,,19.98349546562531,None,19.98349546562531,None,space,0.1742283249332104,19.98349546562531,None,20.3339325828274,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.2759111941632,background,0.008630536765849683,None,20.3339325828274,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
9_dist_red/trial24.png,"[-4, -8]",0,12,12,73,,,,,,,20.667538447749394,None,20.667538447749394,None,space,0.23418250122631434,20.667538447749394,None,21.067894285471993,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.30486908883904107,background,0.0030472124999505468,None,21.067894285471993,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial12.png,"[-8, -4]",0,13,13,86,,,,,,,21.434906976595812,None,21.434906976595812,None,space,0.1227080146636581,21.434906976595812,None,21.735254174367583,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.29089029830356594,background,0.006208472274011001,None,21.735254174367583,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
9_dist_red/trial11.png,"[-4, -4]",0,14,14,60,,,,,,,22.085546012502164,None,22.085546012502164,None,space,0.11235064095671987,22.085546012502164,None,22.369313476388925,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.22393584681412904,background,0.006288471748121083,None,22.369313476388925,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial25.png,"[4, -8]",0,15,15,99,,,,,,,22.652729902525607,None,22.652729902525607,None,space,0.1610008895950159,22.652729902525607,None,22.98657416592323,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.17016563093784498,background,0.0015758619192638434,None,22.98657416592323,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
0_dist_red/trial5.png,"[8, -8]",0,16,16,4,,,,,,,23.22014259108255,None,23.22014259108255,None,space,0.1456227480157395,23.22014259108255,None,23.537127762378077,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.1587775438238168,background,0.007795342105964664,None,23.537127762378077,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
15_dist_red/trial6.png,"[-8, 0]",0,17,17,80,,,,,,,23.753929894846806,None,23.753929894846806,None,space,0.10789018950163154,23.753929894846806,None,24.037525199833908,None,-0.07962962962962963,-0.3277777777777778,1,0,0,0.11980339325236855,background,0.0009896256669890136,None,24.037525199833908,None,,001,2021_Jan_11_1248,exp2,2020.2.2,59.91632858069724,
