11.2969 	EXP 	background: autoDraw = True
11.7812 	DATA 	Mouse: Left button down, pos=(1130,429)
11.8309 	EXP 	image_3: autoDraw = False
11.8309 	EXP 	background: autoDraw = False
11.8309 	EXP 	text_3: text = 'You did not click on the target. Try to be more accurate.'
11.8309 	EXP 	text_3: autoDraw = True
11.9181 	DATA 	Mouse:  Left button up, pos=(1130,429)
13.1215 	DATA 	Keypress: space
13.1380 	EXP 	New trial (rep=0, index=2): OrderedDict([('ImageFile', '15_dist_red/trial5.png'), ('tarPos', [4, -8])])
13.2342 	EXP 	window1: mouseVisible = False
13.2989 	EXP 	text_3: autoDraw = False
13.2989 	EXP 	image: image = '15_dist_red/trial5.png'
13.2989 	EXP 	image_2: pos = array([ 4., -8.])
13.2989 	EXP 	image_2: image = '15_dist_red/trial5.png'
13.2989 	EXP 	image: autoDraw = True
13.2989 	EXP 	image_2: autoDraw = True
14.3543 	DATA 	Keypress: space
14.4321 	EXP 	window1: mouseVisible = True
14.5334 	EXP 	image: autoDraw = False
14.5334 	EXP 	image_2: autoDraw = False
14.5334 	EXP 	image_3: pos = array([ 4., -8.])
14.5334 	EXP 	image_3: image = '15_dist_red/trial5.png'
14.5334 	EXP 	background: image = '15_dist_red/trial5.png'
14.5334 	EXP 	image_3: autoDraw = True
14.5334 	EXP 	background: autoDraw = True
15.3515 	DATA 	Mouse: Left button down, pos=(902,708)
15.3676 	EXP 	image_3: autoDraw = False
15.3676 	EXP 	background: autoDraw = False
15.3676 	EXP 	text_3: text = 'You did not click on the target. Try to be more accurate.'
15.3676 	EXP 	text_3: autoDraw = True
15.4723 	DATA 	Mouse:  Left button up, pos=(902,708)
16.3240 	DATA 	Keypress: space
16.3416 	EXP 	New trial (rep=0, index=3): OrderedDict([('ImageFile', '9_dist_red/trial19.png'), ('tarPos', [4, 8])])
16.4314 	EXP 	window1: mouseVisible = False
16.5020 	EXP 	text_3: autoDraw = False
16.5020 	EXP 	image: image = '9_dist_red/trial19.png'
16.5020 	EXP 	image_2: pos = array([4., 8.])
16.5020 	EXP 	image_2: image = '9_dist_red/trial19.png'
16.5020 	EXP 	image: autoDraw = True
16.5020 	EXP 	image_2: autoDraw = True
17.5968 	EXP 	window1: mouseVisible = True
17.6295 	DATA 	Keypress: space
17.7032 	EXP 	image: autoDraw = False
17.7032 	EXP 	image_2: autoDraw = False
17.7032 	EXP 	image_3: pos = array([4., 8.])
17.7032 	EXP 	image_3: image = '9_dist_red/trial19.png'
17.7032 	EXP 	background: image = '9_dist_red/trial19.png'
17.7032 	EXP 	image_3: autoDraw = True
17.7032 	EXP 	background: autoDraw = True
18.5046 	DATA 	Mouse: Left button down, pos=(1096,760)
18.5208 	EXP 	image_3: autoDraw = False
18.5208 	EXP 	background: autoDraw = False
18.5208 	EXP 	text_3: text = 'You did not click on the target. Try to be more accurate.'
18.5208 	EXP 	text_3: autoDraw = True
18.6256 	DATA 	Mouse:  Left button up, pos=(1096,760)
19.5941 	DATA 	Keypress: space
19.6113 	EXP 	New trial (rep=0, index=4): OrderedDict([('ImageFile', '0_dist_red/trial12.png'), ('tarPos', [4, -4])])
19.7071 	EXP 	window1: mouseVisible = False
19.7719 	EXP 	text_3: autoDraw = False
19.7719 	EXP 	image: image = '0_dist_red/trial12.png'
19.7719 	EXP 	image_2: pos = array([ 4., -4.])
19.7719 	EXP 	image_2: image = '0_dist_red/trial12.png'
19.7719 	EXP 	image: autoDraw = True
19.7719 	EXP 	image_2: autoDraw = True
20.5514 	EXP 	window1: mouseVisible = True
20.5847 	DATA 	Keypress: space
20.6561 	EXP 	image: autoDraw = False
20.6561 	EXP 	image_2: autoDraw = False
20.6561 	EXP 	image_3: pos = array([ 4., -4.])
20.6561 	EXP 	image_3: image = '0_dist_red/trial12.png'
20.6561 	EXP 	background: image = '0_dist_red/trial12.png'
20.6561 	EXP 	image_3: autoDraw = True
20.6561 	EXP 	background: autoDraw = True
21.4074 	DATA 	Mouse: Left button down, pos=(1105,421)
