key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,1.030965,space,0.30409,space,0.2953,space,0.367485,space,0.41658,space,0.39112,space,1.808635,a,1,0.69853,space,0.71671,0,0,0,150,1,0_targ_10_dist_red/trial1.png,,,0,10,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.610095,space,0.30168,0,1,1,154,1,0_targ_10_dist_red/trial5.png,,,0,10,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.68087,space,0.269735,0,2,2,193,1,0_targ_16_dist_red/trial19.png,,,0,16,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.535115,space,0.309185,0,3,3,71,1,9_dist_red/trial22.png,,,1,9,redHorizontal,p,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.54744,space,0.305,0,4,4,93,1,15_dist_red/trial19.png,,,1,15,redHorizontal,p,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.48593,space,0.27261,0,5,5,106,1,0_targ_1_dist_red/trial7.png,,,0,1,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.540395,space,0.27475,0,6,6,196,1,0_targ_16_dist_red/trial22.png,,,0,16,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,0.53492,space,0.28185,0,7,7,20,1,0_dist_red/trial21.png,,,1,0,redHorizontal,p,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,0.497605,space,0.020635,0,8,8,26,1,3_dist_red/trial2.png,,,1,3,redHorizontal,p,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.80089,space,0.29537,0,9,9,173,1,0_targ_10_dist_red/trial24.png,,,0,10,redHorizontal,a,55,31,m,2021-02-27_14h51.49.001,exp11,2020.2.6,Win32,60,IwAR3U2KXFL4e6znQL8uZDgaRxrmDNiX3z1ZTYjhIYF3jv_zCpSIZzwMDuWy4,,,,,,,,,,,
