key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ImageFile,tarPos,tarSize,targPres,numDist,targetName,correctAns,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,fbclid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,colTarget,sizeTarg,posit
space,7.24,space,8.015,space,2.451,space,1.619,space,1.793,space,29.075,space,15.924,a,1,2.669,space,3.426,0,0,0,130,1,0_targ_4_dist_green/trial6.png,,,0,4,greenverival,a,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,2.282,space,2.121,0,1,1,12,1,0_dist_green/trial13.png,,,1,0,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,6.591,space,12.053,0,2,2,25,1,3_dist_green/trial1.png,,,1,3,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,3.631,space,1.782,0,3,3,196,1,0_targ_16_dist_green/trial22.png,,,0,16,greenverival,a,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,3.425,space,18.719,0,4,4,81,1,15_dist_green/trial7.png,,,1,15,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,1.431,space,1.647,0,5,5,143,1,0_targ_4_dist_green/trial19.png,,,0,4,greenverival,a,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,1,0.85,space,1.109,0,6,6,109,1,0_targ_1_dist_green/trial10.png,,,0,1,greenverival,a,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,3.699,space,3.201,0,7,7,59,1,9_dist_green/trial10.png,,,1,9,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,a,0,2.628,space,0.418,0,8,8,79,1,15_dist_green/trial5.png,,,1,15,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
,,,,,,,,,,,,,,p,1,2.541,space,0.912,0,9,9,75,1,15_dist_green/trial1.png,,,1,15,greenverival,p,59,52,female,2021-02-22_15h22.11.487,exp11,2020.2.6,Win32,60,IwAR0V_vrpRGxMeSnFFgdNgc3tRRN1v4D-QWrpjllhsVkaG5aFI1DEgYL9hHQ,,,,,,,,,,,
